Price,Date
57834.505,2021-11-29
56974.035,2021-11-30
57238.6217,2021-12-01
56522.1483,2021-12-02
53671.99,2021-12-03
49247.4233,2021-12-04
49454.1033,2021-12-05
50516.595,2021-12-06
50631.1267,2021-12-07
50510.235,2021-12-08
47591.0267,2021-12-09
47176.7617,2021-12-10
49388.085,2021-12-11
50105.7917,2021-12-12
46735.5167,2021-12-13
48385.125,2021-12-14
48886.06,2021-12-15
47645.4233,2021-12-16
46171.715,2021-12-17
46863.7717,2021-12-18
46695.385,2021-12-19
46913.6417,2021-12-20
48923.3067,2021-12-21
48620.5417,2021-12-22
50832.2517,2021-12-23
50831.9433,2021-12-24
50436.6433,2021-12-25
50796.875,2021-12-26
50696.565,2021-12-27
47549.8233,2021-12-28
46470.69,2021-12-29
47138.0417,2021-12-30
46206.1767,2021-12-31
47742.995,2022-01-01
47310.9233,2022-01-02
46448.0367,2022-01-03
45837.3333,2022-01-04
43430.7067,2022-01-05
43098.685,2022-01-06
41541.2233,2022-01-07
41689.195,2022-01-08
41864.1067,2022-01-09
41838.4617,2022-01-10
42744.29,2022-01-11
43921.2833,2022-01-12
42577.1583,2022-01-13
43095.525,2022-01-14
43096.105,2022-01-15
43091.2567,2022-01-16
42224.7167,2022-01-17
42373.6817,2022-01-18
41676.665,2022-01-19
40705.4417,2022-01-20
36462.6283,2022-01-21
35085.14,2022-01-22
36286.2217,2022-01-23
36703.22,2022-01-24
36981.4917,2022-01-25
36828.1,2022-01-26
37194.41,2022-01-27
37740.7367,2022-01-28
38186.37,2022-01-29
37915.8983,2022-01-30
38499.2683,2022-01-31
38718.8067,2022-02-01
36918.195,2022-02-02
